gene_ID,gene_name,difference,tstat,logpval,significant
C15orf61,C15orf61,-0.2894333625968157,-0.2894333625968157,1.227750232676075,NA
C15orf62,C15orf62,-1.3840565527734343,-1.3840565527734343,1.8336588609983997,NA
C15orf65,C15orf65,-0.3172989697975155,-0.3172989697975155,1.2489832410080313,NA
C16orf13,C16orf13,1.0244251622807792,1.0244251622807792,0.30563450211738036,NA
C16orf45,C16orf45,0.6168299740280343,0.6168299740280343,0.537346879146421,NA
C16orf46,C16orf46,0.42222382292721217,0.42222382292721217,0.6728616544603935,NA
C16orf47,C16orf47,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C16orf52,C16orf52,-0.0364097655061408,-0.0364097655061408,1.0290443724042477,NA
C16orf54,C16orf54,-0.6983231202897788,-0.6983231202897788,1.5150248566095454,NA
C16orf58,C16orf58,0.8260000313313128,0.8260000313313128,0.40880407403439123,NA
C16orf59,C16orf59,0.03993746723073589,0.03993746723073589,0.9681429803886132,NA
C16orf62,C16orf62,0.540159098931103,0.540159098931103,0.5890873167940414,NA
C16orf70,C16orf70,0.13783928114724792,0.13783928114724792,0.8903674387872555,NA
C16orf71,C16orf71,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C16orf72,C16orf72,0.6096451136348225,0.6096451136348225,0.5420969201567183,NA
C16orf74,C16orf74,0.02783324296469429,0.02783324296469429,0.9777951521751629,NA
C16orf80,C16orf80,0.4899621688866369,0.4899621688866369,0.6241606693146946,NA
C16orf86,C16orf86,-0.758682420439959,-0.758682420439959,1.551957444551464,NA
C16orf87,C16orf87,-0.03676577210220087,-0.03676577210220087,1.0293282345075832,NA
C16orf89,C16orf89,-1.0065924682417715,-1.0065924682417715,1.685869344644872,NA
C16orf91,C16orf91,0.4391179541220616,0.4391179541220616,0.6605760703817443,NA
C16orf95,C16orf95,-0.7098771525437276,-0.7098771525437276,1.5222196802632713,NA
C16orf96,C16orf96,-2.1178832399612015,-2.1178832399612015,1.965815042641278,+
C17orf100,C17orf100,-0.9526736510566776,-0.9526736510566776,1.6592445524445785,NA
C17orf102,C17orf102,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C17orf103,C17orf103,-0.5240417094003846,-0.5240417094003846,1.3997504700106829,NA
C17orf104,C17orf104,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C17orf49,C17orf49,1.2875787652411623,1.2875787652411623,0.19789263509480481,NA
C17orf50,C17orf50,-2.2531657464640182,-2.2531657464640182,1.9757512997237061,+
C17orf51,C17orf51,-1.1319391542909123,-1.1319391542909123,1.742339984008806,NA
C17orf53,C17orf53,-0.32759079684725134,-0.32759079684725134,1.2567789186479499,NA
C17orf58,C17orf58,0.6084152726666151,0.6084152726666151,0.5429120846013911,NA
C17orf59,C17orf59,-0.1055074093777948,-0.1055074093777948,1.084026809026978,NA
C17orf62,C17orf62,1.0364970223108154,1.0364970223108154,0.2999703278791191,NA
C17orf64,C17orf64,-2.2135842858293424,-2.2135842858293424,1.9731426107088927,+
C17orf67,C17orf67,-0.03294679225355676,-0.03294679225355676,1.026282981790536,NA
